%Cavity1 Size=	0,000000E+0	mm
%f	alpha	Re(R)	Im(R)	Re(Zs/Zo)	Im(Zs/Zo)
4,312500E+2	3,503384E-1	4,851619E-1	-6,436455E-1	5,157056E-1	-1,894920E+0
4,328125E+2	3,522674E-1	4,817240E-1	-6,447283E-1	5,147966E-1	-1,884386E+0
4,343750E+2	3,550180E-1	4,795257E-1	-6,442337E-1	5,175714E-1	-1,878423E+0
4,359375E+2	3,561546E-1	4,777873E-1	-6,446431E-1	5,174628E-1	-1,873225E+0
4,375000E+2	3,556523E-1	4,749347E-1	-6,471358E-1	5,121144E-1	-1,863660E+0
4,390625E+2	3,567866E-1	4,733575E-1	-6,474149E-1	5,122576E-1	-1,859056E+0
4,406250E+2	3,586874E-1	4,711753E-1	-6,475388E-1	5,131715E-1	-1,852858E+0
4,421875E+2	3,594960E-1	4,688124E-1	-6,486285E-1	5,114619E-1	-1,845633E+0
4,437500E+2	3,611972E-1	4,669858E-1	-6,486348E-1	5,124591E-1	-1,840539E+0
4,453125E+2	3,617628E-1	4,634957E-1	-6,506988E-1	5,086326E-1	-1,829744E+0
4,468750E+2	3,630560E-1	4,629223E-1	-6,501130E-1	5,105559E-1	-1,828473E+0
4,484375E+2	3,656757E-1	4,604160E-1	-6,498780E-1	5,125153E-1	-1,821682E+0
4,500000E+2	3,673951E-1	4,563885E-1	-6,513942E-1	5,103931E-1	-1,809861E+0
4,515625E+2	3,683044E-1	4,548429E-1	-6,517772E-1	5,101100E-1	-1,805453E+0
4,531250E+2	3,695426E-1	4,528580E-1	-6,522094E-1	5,098958E-1	-1,799840E+0
4,546875E+2	3,699040E-1	4,509922E-1	-6,532244E-1	5,080320E-1	-1,794297E+0
4,562500E+2	3,704353E-1	4,496497E-1	-6,537429E-1	5,072614E-1	-1,790426E+0
4,578125E+2	3,727515E-1	4,467185E-1	-6,539809E-1	5,079664E-1	-1,782422E+0
4,593750E+2	3,737454E-1	4,443953E-1	-6,548034E-1	5,067980E-1	-1,775824E+0
4,609375E+2	3,743990E-1	4,424906E-1	-6,555937E-1	5,055210E-1	-1,770392E+0
4,625000E+2	3,759247E-1	4,397525E-1	-6,562721E-1	5,048880E-1	-1,762821E+0
4,640625E+2	3,775748E-1	4,376926E-1	-6,563919E-1	5,054278E-1	-1,757314E+0
4,656250E+2	3,790516E-1	4,361495E-1	-6,562942E-1	5,063138E-1	-1,753275E+0
4,671875E+2	3,799558E-1	4,340279E-1	-6,570114E-1	5,052681E-1	-1,747398E+0
4,687500E+2	3,805846E-1	4,310008E-1	-6,585239E-1	5,024790E-1	-1,738875E+0
4,703125E+2	3,802931E-1	4,299443E-1	-6,594353E-1	5,005052E-1	-1,735771E+0
4,718750E+2	3,820701E-1	4,281506E-1	-6,592549E-1	5,016488E-1	-1,731171E+0
4,734375E+2	3,850398E-1	4,247726E-1	-6,591877E-1	5,030472E-1	-1,722432E+0
4,750000E+2	3,863505E-1	4,228037E-1	-6,594593E-1	5,030329E-1	-1,717248E+0
4,765625E+2	3,868704E-1	4,213462E-1	-6,599977E-1	5,021440E-1	-1,713307E+0
4,781250E+2	3,885565E-1	4,187979E-1	-6,603422E-1	5,021098E-1	-1,706646E+0
4,796875E+2	3,899104E-1	4,157517E-1	-6,612414E-1	5,007928E-1	-1,698569E+0
4,812500E+2	3,896861E-1	4,141732E-1	-6,624005E-1	4,983405E-1	-1,694189E+0
4,828125E+2	3,909833E-1	4,125999E-1	-6,624032E-1	4,988198E-1	-1,690199E+0
4,843750E+2	3,929835E-1	4,105515E-1	-6,621662E-1	5,000340E-1	-1,685086E+0
4,859375E+2	3,941253E-1	4,076743E-1	-6,630810E-1	4,985607E-1	-1,677569E+0
4,875000E+2	3,954478E-1	4,065497E-1	-6,627741E-1	4,996480E-1	-1,674829E+0
4,890625E+2	3,952936E-1	4,046597E-1	-6,640459E-1	4,969828E-1	-1,669743E+0
4,906250E+2	3,951392E-1	4,030744E-1	-6,651254E-1	4,947205E-1	-1,665495E+0
4,921875E+2	3,968796E-1	3,999947E-1	-6,656760E-1	4,941656E-1	-1,657702E+0
4,937500E+2	3,966416E-1	3,986947E-1	-6,666341E-1	4,921300E-1	-1,654242E+0
4,953125E+2	3,988438E-1	3,959217E-1	-6,666350E-1	4,928177E-1	-1,647410E+0
4,968750E+2	4,008209E-1	3,941849E-1	-6,661812E-1	4,943467E-1	-1,643250E+0
4,984375E+2	4,013286E-1	3,922325E-1	-6,669521E-1	4,929077E-1	-1,638287E+0
5,000000E+2	4,023173E-1	3,904408E-1	-6,672620E-1	4,925525E-1	-1,633842E+0
5,015625E+2	4,032286E-1	3,874325E-1	-6,683319E-1	4,906015E-1	-1,626297E+0
5,031250E+2	4,041805E-1	3,861089E-1	-6,683857E-1	4,907475E-1	-1,623080E+0
5,046875E+2	4,043035E-1	3,844575E-1	-6,692451E-1	4,890088E-1	-1,618916E+0
5,062500E+2	4,053957E-1	3,825422E-1	-6,695265E-1	4,887113E-1	-1,614251E+0
